accession	monosaccharide	count
G00361YF	HexNAc	6
G00361YF	Man	3
G00362UY	*	2
G00362UY	Fuc	1
G00362UY	GlcNAc	1
G00362UY	HexNAc	1
G00362UY	dHex	1
G00368HM	*	13
G00368HM	Fuc	1
G00368HM	Gal	3
G00368HM	GlcNAc	5
G00368HM	Hex	6
G00368HM	HexNAc	5
G00368HM	Man	3
G00368HM	NeuGc	1
G00368HM	Sia	1
G00368HM	dHex	1
G00370EI	*	6
G00370EI	Gal	3
G00370EI	Glc	1
G00370EI	GlcNAc	1
G00370EI	Hex	4
G00370EI	HexNAc	1
G00370EI	NeuAc	1
G00370EI	Sia	1
G00371DJ	*	4
G00371DJ	Fuc	1
G00371DJ	Gal	1
G00371DJ	GalNAc	1
G00371DJ	GlcNAc	1
G00371DJ	Hex	1
G00371DJ	HexNAc	2
G00371DJ	dHex	1
G00376RB	*	9
G00376RB	Fuc	3
G00376RB	Gal	3
G00376RB	GalNAc	1
G00376RB	GalNAc+aldi	1
G00376RB	GlcNAc	2
G00376RB	Hex	3
G00376RB	HexNAc	3
G00376RB	HexNAc+aldi	1
G00376RB	aldi	1
G00376RB	dHex	3
G00379PJ	*	5
G00379PJ	Gal	2
G00379PJ	GalNAc	2
G00379PJ	Hex	2
