GlyTouCanAccession	ChEBIAccession
G07539OP	CHEBI:147172
G07547GE	CHEBI:147175
G07568IR	CHEBI:147177
G07578MJ	CHEBI:147179
G07582KM	CHEBI:147181
G07589QZ	CHEBI:147182
G07610JY	CHEBI:147187
G07617FP	CHEBI:147189
G07619BL	CHEBI:147191
G07626IW	CHEBI:157326
G07626WD	CHEBI:147193
G07646UD	CHEBI:147195
G07666IB	CHEBI:147197
G07670VS	CHEBI:65124
G07674LF	CHEBI:147199
G07675NG	CHEBI:147202
G07677VL	CHEBI:147203
G07680YZ	CHEBI:147206
G07689ET	CHEBI:147208
G07692KY	CHEBI:147209
G07695IB	CHEBI:147212
G07695ZT	CHEBI:147214
G07696MJ	CHEBI:147216
G07699XI	CHEBI:147218
G07703ST	CHEBI:147220
G07741OQ	CHEBI:147222
G07810DU	CHEBI:147224
G07815PK	CHEBI:147226
G07817HH	CHEBI:147228
