GlyTouCanAccession	Image-Size	Image-CRC	Image-Notation	Image-Style
G01356OG	1133	6e3aa4e3	cfg	extended
G01356YS	1328	af38e172	cfg	extended
G01357QI	1647	165d7b1b	cfg	extended
G01361CV	3976	adaa822b	cfg	extended
G01361JC	4106	bdb5cb11	cfg	extended
G01361SX	651	e34459da	cfg	extended
G01364WM	2044	16ed0ffd	cfg	extended
G01364ZC	1983	d2b01e99	cfg	extended
G01366WY	1480	6c85fff5	cfg	extended
G01367ZS	3195	0678fb02	cfg	extended
G01369KU	1697	7db37ca5	cfg	extended
G01375NQ	4184	1d4281e4	cfg	extended
G01378OV	3990	0ced6eda	cfg	extended
G01386NB	4549	ca8c9a90	cfg	extended
G01392LP	3276	16a209d1	cfg	extended
G01396FD	2117	f83f2204	cfg	extended
G01406RR	4079	5b5334f8	cfg	extended
G01410KF	1310	9b3f7e9c	cfg	extended
G01414CL	3488	96ef6a5c	cfg	extended
G01416HI	1009	fc8332e8	cfg	extended
G01417SR	962	f0b1b7c2	cfg	extended
G01424EN	2313	9e3a1da0	cfg	extended
G01437WY	1678	56675a48	cfg	extended
G01440YK	1947	f3ad33ed	cfg	extended
G01443DG	4473	f350b27f	cfg	extended
G01445XB	2256	b52d3f9b	cfg	extended
G01447WV	783	50c7810b	cfg	extended
G01450RG	1612	a5dd7618	cfg	extended
G01450UB	5653	6e4cfee0	cfg	extended
G01451IZ	1530	c047e525	cfg	extended
G01453BU	2194	6114a41c	cfg	extended
G01453HD	2201	c7023145	cfg	extended
G01455VM	2954	e14f0e3f	cfg	extended
G01457KB	1743	8ed5a065	cfg	extended
G01461LF	4156	99f27a80	cfg	extended
G01464ES	2427	d562a4a9	cfg	extended
G01465MJ	4260	6fbc144a	cfg	extended
G01473WV	2698	0e7a67fa	cfg	extended
G01476LL	2267	01827dcd	cfg	extended
G01476UF	3229	69c5efe0	cfg	extended
G01476WA	3951	0f24cfdb	cfg	extended
G01480UG	2136	8b31f5ed	cfg	extended
G01489UZ	3360	ad9cda4f	cfg	extended
G01506GC	4775	540092f4	cfg	extended
G01511KB	937	666fa0e7	cfg	extended
G01513UO	2436	2584cce4	cfg	extended
G01514YB	4272	3de5f887	cfg	extended
G01520KE	3624	033c90c9	cfg	extended
G01521YU	5768	a5e0d2ce	cfg	extended
G01525UQ	6823	1aca2d73	cfg	extended
G01527ZD	1129	a7645267	cfg	extended
G01533PK	882	80a64872	cfg	extended
G01534TU	1018	2b474d09	cfg	extended
G01535VC	4369	5d0ccc18	cfg	extended
G01540PE	1569	9a1bdf70	cfg	extended
G01541BA	2245	c6b71ced	cfg	extended
G01541ZK	2131	3e756e00	cfg	extended
G01542OM	2130	c7f0ec18	cfg	extended
G01543QR	1705	100e0592	cfg	extended
G01543ZX	5707	6a638148	cfg	extended
G01544LX	1214	0b3ca46e	cfg	extended
G01545QB	1097	80d64b10	cfg	extended
G01546PE	1792	90c8a9fe	cfg	extended
G01550VL	879	694cb998	cfg	extended
G01555RW	1791	1f7fc317	cfg	extended
G01556OR	761	2b6e2339	cfg	extended
G01563KC	1538	3ac2432c	cfg	extended
G01566HQ	1875	22f6dd3c	cfg	extended
G01573VB	554	6e5bae7d	cfg	extended
G01577DB	1891	39aa0434	cfg	extended
G01580PZ	1637	22d4caa6	cfg	extended
G01584VI	2476	24c1cda3	cfg	extended
G01587DQ	5135	88e58654	cfg	extended
G01590HD	4178	7935c9d8	cfg	extended
G01595SM	1637	76a1ca5f	cfg	extended
G01599BJ	1053	b6968ee4	cfg	extended
G01599KP	1378	a07399c8	cfg	extended
G01600VV	2190	f130d8b9	cfg	extended
G01602LO	1190	282f383c	cfg	extended
G01604EO	1622	cc81d128	cfg	extended
G01605NF	2049	7f4289d4	cfg	extended
G01606CH	4708	afcc67a6	cfg	extended
G01607ZD	1482	f3de01fc	cfg	extended
G01608SJ	4611	a40d4d25	cfg	extended
G01608UX	1676	27b52aa7	cfg	extended
G01612MY	1138	423b5890	cfg	extended
G01613KN	6019	22be24d3	cfg	extended
G01614ZM	1676	f8fabb9b	cfg	extended
G01625GQ	1836	60a2696c	cfg	extended
G01629YL	1451	2d27cf97	cfg	extended
G01633XH	1750	a65fe464	cfg	extended
G01635ZC	5100	53702487	cfg	extended
G01643LM	2503	a52b9a18	cfg	extended
G01650CJ	6379	41a4f0ad	cfg	extended
G01650EU	1365	4566ff88	cfg	extended
G01650PH	1821	15aa5487	cfg	extended
G01654FP	5008	1a85986a	cfg	extended
G01655FT	1719	46147333	cfg	extended
G01657DW	4712	80994b19	cfg	extended
G01657UH	1691	4a39acb3	cfg	extended
G01659NO	3386	4a1dd8f4	cfg	extended
G01665LU	2374	7ded3e82	cfg	extended
G01666TL	1675	e4c5fc65	cfg	extended
G01669LU	4619	edadd4d2	cfg	extended
G01670UQ	3648	3113f63d	cfg	extended
G01675YF	1317	1659329f	cfg	extended
G01680CB	3605	ff40cd91	cfg	extended
G01685IB	3909	8cdcfd0c	cfg	extended
G01690DX	1463	709a431c	cfg	extended
G01695WQ	2007	29c60c6a	cfg	extended
G01696BA	786	0053df8f	cfg	extended
G01698QO	1979	e14a8f98	cfg	extended
G01699OT	5216	af31bc87	cfg	extended
G01706RV	1351	6fc179c5	cfg	extended
G01707KB	1438	264f986c	cfg	extended
G01708UF	1737	d989c9cb	cfg	extended
G01713HS	1889	aa569f7e	cfg	extended
G01714NT	1690	b3cc2539	cfg	extended
G01716TC	6039	086ead20	cfg	extended
G01718WD	2650	e9541d29	cfg	extended
G01722AX	3362	5b82dc27	cfg	extended
G01722HI	1243	5a1d365f	cfg	extended
G01725BW	2131	b7de60de	cfg	extended
G01726AL	1122	286accb7	cfg	extended
G01726AR	1566	7e048a92	cfg	extended
G01726PL	4096	5ee52f4b	cfg	extended
G01727PW	4822	2d17d989	cfg	extended
G01730TA	4265	17a075dc	cfg	extended
G01732WP	4523	ad6cbbab	cfg	extended
G01741TB	4249	02aa79b5	cfg	extended
G01742GV	2981	3b9312df	cfg	extended
G01744JD	2878	d3f04312	cfg	extended
G01746BG	661	7b6b344d	cfg	extended
G01747AF	1856	cf87753f	cfg	extended
G01747FB	1535	071e17bd	cfg	extended
G01748MD	1901	08467393	cfg	extended
G01749YL	1974	81e98c0a	cfg	extended
G01752VH	5231	be1a423f	cfg	extended
G01753HF	967	1a96d95b	cfg	extended
G01755WL	3924	a62e9508	cfg	extended
G01759NM	1857	25ea34d7	cfg	extended
G01760ZU	1356	e9d990ca	cfg	extended
G01765SB	3597	6686e40d	cfg	extended
G01765ZR	1154	17d86253	cfg	extended
G01767JJ	1699	1791f0bc	cfg	extended
G01769FS	4684	22d37b21	cfg	extended
G01778PX	1593	a4056eaf	cfg	extended
G01779GQ	5522	bd2e2be9	cfg	extended
G01784XC	1397	601c8f65	cfg	extended
G01789AQ	5222	18dfe8c5	cfg	extended
G01791IN	1351	5b6607b4	cfg	extended
G01791PK	2844	1df2d7ed	cfg	extended
G01797UE	2370	a57ac794	cfg	extended
