GlyTouCan AC	Species Name	AnnotationCategory	Source	Source ID	tax_id
G80147HT	Human	Direct	GlyTouCan	G80147HT	9606
G80147HT	Rat	Direct	GlyTouCan	G80147HT	10116
G80148RS	Human	Subsumption	GNOme	G14815WH	
G80148RS	Human	Subsumption	GNOme	G30241UB	
G80148RS	Human	Subsumption	GNOme	G90771OP	
G80148RS	Rat	Subsumption	GNOme	G65263TV	
G80153HF	Human	Direct	GlyTouCan	G80153HF	9606
G80155BS	Human	Direct	GlyConnect	3236	9606
G80155BS	Mouse	Subsumption	GNOme	G12398HZ	
G80155BS	Mouse	Subsumption	GNOme	G61334IA	
G80161SF	Human	Direct	GlyTouCan	G80161SF	9606
G80163ME	Human	Direct	GlyTouCan	G80163ME	9606
G80171QI	Human	Subsumption	GNOme	G53989JC	
G80176YK	Human	Direct	GlyTouCan	G80176YK	9606
G80180LY	Human	Subsumption	GNOme	G47809KW	
G80180LY	Rat	Subsumption	GNOme	G56555MU	
G80180SI	Mouse	Direct	GlyTouCan	G80180SI	10090
G80187JE	Human	Subsumption	GNOme	G21573GX	
G80191VM	Human	Direct	GlyTouCan	G80191VM	9606
G80193TN	Human	Direct	GlyTouCan	G80193TN	9606
G80193TN	Rat	Direct	GlyTouCan	G80193TN	10114
G80199RH	Human	Subsumption	GNOme	G54158IT	
G80199RH	Human	Subsumption	GNOme	G90542MP	
G80207ET	Human	Subsumption	GNOme	G55922CA	
G80207ET	Human	Subsumption	GNOme	G93899AU	
G80211PE	Human	Subsumption	GNOme	G53272SL	
G80212LK	Human	Subsumption	GNOme	G14889WU	
G80212LK	Human	Subsumption	GNOme	G29271US	
G80212LK	Human	Subsumption	GNOme	G44842OK	
G80212LK	Human	Subsumption	GNOme	G47498FQ	
G80212LK	Human	Subsumption	GNOme	G51367TM	
G80212LK	Rat	Subsumption	GNOme	G51367TM	
G80218BM	Human	Direct	GlyConnect	199	9606
G80223IX	Human	Direct	GlyConnect	304	9606
G80223IX	Mouse	Direct	GlyConnect	304	10090
G80223IX	Rat	Subsumption	GNOme	G35952BG	
G80223IX	SARS	Direct	GlyConnect	304	2697049
G80227NA	Human	Subsumption	GNOme	G00492CQ	
G80227NA	Human	Subsumption	GNOme	G01600VV	
G80227NA	Human	Subsumption	GNOme	G03024EJ	
G80227NA	Human	Subsumption	GNOme	G03900NK	
